range,longest_trip,trips_over_threshold,charges
212,300,5,5.0
212,390,5,5.0
212,480,5,6.196969696969695
212,570,5,7.0
212,660,5,7.999999999999999
212,750,5,8.663716814159296
212,840,5,9.0
212,930,5,11.0
212,1020,5,10.0
212,1110,5,12.0
212,300,1,1.0
212,300,3,3.0
212,300,6,6.0
212,300,9,9.0
212,300,12,12.0
212,300,15,15.0
212,300,18,18.0
212,300,21,21.0
212,300,24,24.0
212,300,27,27.0
212,345,5,5.0
212,435,5,6.0
212,525,5,7.0
212,615,5,6.0
212,705,5,8.441441441441437
212,795,5,8.0
212,885,5,10.0
212,975,5,10.090909090909092
212,1065,5,10.0
212,1155,5,12.023809523809522
212,300,2,2.0
212,300,8,8.0
212,300,11,11.0
212,300,14,14.0
212,300,16,16.0
212,300,19,19.0
212,300,22,22.0
212,300,25,25.0
212,300,28,28.0
